Form	Use Freq	Category (approx.)	Applicability
PC_form_1	3127	First-year competing "traditional" Research Project Grants (RPG)	1DP1, 1DP2, 1R00, 1R01, 1R56, 1RC1, 1RC2, 1RC3, 1RC4, 1RL1, 1SC1, 1SC2
PC_form_2	1905	Continuation competing traditional RPGs	2DP1, 2DP2, 2R00, 2R01, 2R56, 2RC1, 2RC2, 2RC3, 2RC4, 2RL1, 2SC1, 2SC2, 7DP1, 7DP2, 7R00, 7R01, 7R56, 7RC1, 7RC2, 7RC3, 7RC4, 7RL1, 7SC1, 7SC2, 9DP1, 9DP2, 9R00, 9R01, 9R56, 9RC1, 9RC2, 9RC3, 9RC4, 9RL1, 9SC1, 9SC2
PC_form_3	1504	Competing exploratory/developmental (R21/R33) grants [actually only R21, apparently]	1R21
PC_form_4	1108	Supplements to "traditional" RPGs	3DP1, 3DP2, 3P01, 3P20, 3P50, 3R00, 3R01, 3R03, 3R15, 3R18, 3R24, 3R30, 3R33, 3R56, 3RC1, 3RC2, 3RC3, 3RC4, 3RL1, 3RL2, 3SC1, 3SC2, 3UA5
PC_form_5	780	First-year competing Program Project (including SPORE) grants	1P01, 1P20, 1P50, 1R03, 1R15, 1R18, 1R24, 1R30, 1R37, 2R30, 6P01, 6P20, 6P50, 6R03, 6R15, 6R18, 6R24, 6R30, 6R37, 7R30, 9R30
PC_form_6	483	First-year competing Career Development grants	1K01, 1K05, 1K07, 1K08, 1K18, 1K23, 1K25, 1K99, 6K01, 6K05, 6K07, 6K08, 6K18, 6K23, 6K25, 6K99
PC_form_7	398	Competing fellowship grants for pre-doctoral students	1F30, 1F31, 6F30, 6F31
PC_form_8	348	Competing Small Business Innovation Research (SBIR) grants	1R43, 6R43
PC_form_9	347	First-year competing Cooperative Agreement awards	1U01, 1U19, 1U24, 1U54, 1U56, 1UC2, 1UH2, 1UH3, 1UL1, 1UM1, 6U01, 6U19, 6U24, 6U54, 6U56, 6UC2, 6UH2, 6UH3, 6UL1, 6UM1
PC_form_10	298	Competing fellowship grants for post-doctoral fellows	1F32, 6F32
PC_form_11	253	"Continuation" competing Program Project (including SPORE) grants	1UA5, 2P01, 2P20, 2P50, 2R03, 2R15, 2R18, 2R24, 2UA5, 4R37, 6UA5, 7P01, 7P20, 7P50, 7R03, 7R15, 7R18, 7R24, 7R29, 7R37, 7UA5, 9P01, 9P20, 9P50, 9R03, 9R15, 9R18, 9R24, 9UA5
PC_form_12	225	Conference grants	1R13, 6R13
PC_form_13	213	Supplements to Cooperative Agreement awards	3U01, 3U19, 3U24, 3U54, 3U56, 3UC2, 3UH2, 3UH3, 3UL1, 3UM1
PC_form_14	137	Pathway to Independence (PI) Award (R00)	4R00
PC_form_15	121	"Continuation" competing Clinical Trial (U10) grants	2U10
PC_form_16	117	"Continuation" competing training grants	2T15, 2T32, 2TL1, 7T32, 7TL1, 9T32, 9TL1
